 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 2,1100.0,76.0,1.1
 2,1400.0,6.0,1.8
 2,1400.0,7.0,2.2
 2,1400.0,8.0,2.8
 2,1400.0,9.0,2.8
 2,1400.0,10.0,3.2
 2,1400.0,11.0,3.3
 2,1400.0,12.0,4.3
 2,1400.0,13.0,4.7
 2,1400.0,14.0,4.8
 2,1400.0,15.0,3.6
 2,1400.0,16.0,3.7
 2,1400.0,17.0,4.1
 2,1400.0,18.0,4.6
 2,1400.0,19.0,5.4
 2,1400.0,20.0,5.9
 2,1400.0,21.0,5.7
 2,1400.0,22.0,5.7
 2,1400.0,23.0,5.1
 2,1400.0,24.0,4.7
 2,1400.0,25.0,4.9
 2,1400.0,26.0,4.5
 2,1400.0,27.0,4.7
 2,1400.0,28.0,4.1
 2,1400.0,29.0,4.6
 2,1400.0,30.0,4.1
 2,1400.0,31.0,4.2
 2,1400.0,32.0,4.1
 2,1400.0,33.0,4.1
 2,1400.0,34.0,4.3
 2,1400.0,35.0,4.4
 2,1400.0,36.0,4.2
 2,1400.0,37.0,4.2
 2,1400.0,38.0,4.1
 2,1400.0,39.0,4.4
 2,1400.0,40.0,4.3
 2,1400.0,41.0,4.5
 2,1400.0,42.0,4.3
 2,1400.0,43.0,3.9
 2,1400.0,44.0,3.1
 2,1400.0,45.0,2.0
 2,1400.0,46.0,1.7
 2,1400.0,47.0,1.5
 2,1400.0,48.0,1.3
 2,1400.0,49.0,1.0
 2,1400.0,50.0,0.9
 2,1400.0,51.0,0.8
 2,1400.0,52.0,0.7
 2,1400.0,53.0,0.5
 2,1400.0,54.0,0.8
 2,1400.0,55.0,0.9
 2,1400.0,56.0,1.3
 2,1400.0,57.0,1.4
 2,1400.0,58.0,1.1
 2,1400.0,59.0,1.3
 2,1400.0,60.0,1.9
 2,1400.0,61.0,2.4
 2,1400.0,62.0,2.8
 2,1400.0,63.0,2.9
 2,1400.0,64.0,3.2
 2,1400.0,65.0,3.5
 2,1400.0,66.0,3.3
 2,1400.0,67.0,2.8
 2,1400.0,68.0,2.4
 2,1400.0,69.0,1.2
 2,1400.0,70.0,0.6
 2,1400.0,71.0,0.6
 2,1400.0,72.0,0.9
 2,1400.0,73.0,1.1
 2,1700.0,6.0,2.8
 2,1700.0,7.0,3.2
 2,1700.0,8.0,3.3
 2,1700.0,9.0,4.3
 2,1700.0,10.0,4.7
 2,1700.0,11.0,4.8
 2,1700.0,12.0,3.6
 2,1700.0,13.0,3.7
 2,1700.0,14.0,4.1
 2,1700.0,15.0,4.6
 2,1700.0,16.0,5.4
 2,1700.0,17.0,5.9
 2,1700.0,18.0,5.7
 2,1700.0,19.0,5.7
 2,1700.0,20.0,5.1
 2,1700.0,21.0,4.7
 2,1700.0,22.0,4.9
 2,1700.0,23.0,4.5
 2,1700.0,24.0,4.7
 2,1700.0,25.0,4.1
 2,1700.0,26.0,4.6
 2,1700.0,27.0,4.1
 2,1700.0,28.0,4.2
 2,1700.0,29.0,4.1
 2,1700.0,30.0,4.1
 2,1700.0,31.0,4.3
 2,1700.0,32.0,4.4
 2,1700.0,33.0,4.2
 2,1700.0,34.0,4.2
 2,1700.0,35.0,4.1
 2,1700.0,36.0,4.4
 2,1700.0,37.0,4.3
 2,1700.0,38.0,4.5
 2,1700.0,39.0,4.3
 2,1700.0,40.0,3.9
 2,1700.0,41.0,3.1
 2,1700.0,42.0,2.0
 2,1700.0,43.0,1.7
 2,1700.0,44.0,1.5
 2,1700.0,45.0,1.3
 2,1700.0,46.0,1.0
 2,1700.0,47.0,0.9
 2,1700.0,48.0,0.8
 2,1700.0,49.0,0.7
 2,1700.0,50.0,0.5
 2,1700.0,51.0,0.8
 2,1700.0,52.0,0.9
 2,1700.0,53.0,1.3
 2,1700.0,54.0,1.4
 2,1700.0,55.0,1.1
 2,1700.0,56.0,1.3
 2,1700.0,57.0,1.9
 2,1700.0,58.0,2.4
 2,1700.0,59.0,2.8
 2,1700.0,60.0,2.9
 2,1700.0,61.0,3.2
 2,1700.0,62.0,3.5
 2,1700.0,63.0,3.3
 2,1700.0,64.0,2.8
 2,1700.0,65.0,2.4
 2,1700.0,66.0,1.2
 2,1700.0,67.0,0.6
 2,1700.0,68.0,0.6
 2,1700.0,69.0,0.9
 2,1700.0,70.0,1.1
 2,2000.0,6.0,4.3
 2,2000.0,7.0,4.6
 2,2000.0,8.0,4.7
 2,2000.0,9.0,4.9
 2,2000.0,10.0,4.0
 2,2000.0,11.0,3.9
 2,2000.0,12.0,4.5
 2,2000.0,13.0,5.1
 2,2000.0,14.0,5.1
 2,2000.0,15.0,5.6
 2,2000.0,16.0,5.1
 2,2000.0,17.0,4.8
 2,2000.0,18.0,4.6
 2,2000.0,19.0,4.9
 2,2000.0,20.0,4.3
 2,2000.0,21.0,4.1
 2,2000.0,22.0,3.8
 2,2000.0,23.0,4.3
 2,2000.0,24.0,4.0
 2,2000.0,25.0,3.9
 2,2000.0,26.0,3.9
 2,2000.0,27.0,3.8
 2,2000.0,28.0,3.7
 2,2000.0,29.0,3.9
 2,2000.0,30.0,3.9
